#
#
#
#
#
#
#
#
Mass Radius Temp Rho Pres Lumi O16 Na Mg Al Si P S Ca Cr Fe Ni Intentionally_Blank
0.007970263011861772 0.14934609951342018 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.00829348077709285 0.15136430701616702 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.008625235102483662 0.15338251451891383 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.008965631902527476 0.15540072202166064 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.009314776279163396 0.15741892952440747 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.009672773019152349 0.15943713702715429 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.010039727160570822 0.16145534452990112 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.010415712909964792 0.16347339507141737 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.010800893912611152 0.16549160257416418 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.011195344467319433 0.16750981007691101 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.011599168095687134 0.16952801757965782 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.012012467679951675 0.17154622508240464 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.012435346418145046 0.17356443258515147 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.012867906531468775 0.17558264008789828 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.0133102502346099 0.17760084759064512 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.013762479409819967 0.17961905509339193 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.01422469524197597 0.18163726259613874 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
0.014696961750786226 0.183655313137655 None None None None 0.0 0.0 0.0 0.0 0.06 0.002 0.019 0.0 0.009 0.855 0.052 None
