Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s],SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5]
145, ,0.01,2.3542864143224158e-07,None,None,None,None, , , , , 
146, ,0.01,2.523539170434766e-07,None,None,None,None, , , , , 
147, ,0.01,2.7049597304631316e-07,None,None,None,None, , , , , 
148, ,0.01,2.899422853882875e-07,None,None,None,None, , , , , 
149, ,0.01,3.107866187782014e-07,None,None,None,None, , , , , 
150, ,0.01,3.33129478793467e-07,None,None,None,None, , , , , 
151, ,0.01,3.5707859649004626e-07,None,None,None,None, , , , , 
152, ,0.01,3.827494478516307e-07,None,None,None,None, , , , , 
153, ,0.01,4.1026581058271904e-07,None,None,None,None, , , , , 
154, ,0.01,4.397603609302722e-07,None,None,None,None, , , , , 
155, ,0.01,4.7137531341167185e-07,None,None,None,None, , , , , 
156, ,0.01,5.052631065335679e-07,None,None,None,None, , , , , 
157, ,0.01,5.415871378079465e-07,None,None,None,None, , , , , 
158, ,0.01,5.805225516094896e-07,None,None,None,None, , , , , 
159, ,0.01,6.222570836730232e-07,None,None,None,None, , , , , 
160, ,0.01,6.669919663030115e-07,None,None,None,None, , , , , 
161, ,0.01,7.149428986597576e-07,None,None,None,None, , , , , 
162, ,0.01,7.663410868007445e-07,None,None,None,None, , , , , 
163, ,0.01,8.214343584919422e-07,None,None,None,None, , , , , 
164, ,0.01,8.804883581643463e-07,None,None,None,None, , , , , 
165, ,0.01,9.437878277775371e-07,None,None,None,None, , , , , 
166, ,0.01,1.0116379797662072e-06,None,None,None,None, , , , , 
167, ,0.01,1.0843659686896086e-06,None,None,None,None, , , , , 
168, ,0.01,1.162322468679852e-06,None,None,None,None, , , , , 
169, ,0.01,1.245883364295008e-06,None,None,None,None, , , , , 
170, ,0.01,1.3354515629298971e-06,None,None,None,None, , , , , 
171, ,0.01,1.4314589375234786e-06,None,None,None,None, , , , , 
172, ,0.01,1.53436840893001e-06,None,None,None,None, , , , , 
173, ,0.01,1.644676177994663e-06,None,None,None,None, , , , , 
174, ,0.01,1.762914118095948e-06,None,None,None,None, , , , , 
175, ,0.01,1.8896523396912082e-06,None,None,None,None, , , , , 
176, ,0.01,2.0255019392306664e-06,None,None,None,None, , , , , 
177, ,0.01,2.171117945694501e-06,None,None,None,None, , , , , 
178, ,0.01,2.3272024789604077e-06,None,None,None,None, , , , , 
179, ,0.01,2.494508135230317e-06,None,None,None,None, , , , , 
180, ,0.01,2.673841615839944e-06,None,None,None,None, , , , , 
181, ,0.01,2.8660676169482507e-06,None,None,None,None, , , , , 
182, ,0.01,3.0721129988617532e-06,None,None,None,None, , , , , 
183, ,0.01,3.292971255097148e-06,None,None,None,None, , , , , 
184, ,0.01,3.5297073027306505e-06,None,None,None,None, , , , , 
185, ,0.01,3.783462617131925e-06,None,None,None,None, , , , , 
186, ,0.01,4.0554607358408275e-06,None,None,None,None, , , , , 
187, ,0.01,4.3470131581250175e-06,None,None,None,None, , , , , 
188, ,0.01,4.6595256686646765e-06,None,None,None,None, , , , , 
189, ,0.01,4.99450511585514e-06,None,None,None,None, , , , , 
190, ,0.01,5.353566677410719e-06,None,None,None,None, , , , , 
191, ,0.01,5.738441648302393e-06,None,None,None,None, , , , , 
192, ,0.01,6.150985788580505e-06,None,None,None,None, , , , , 
193, ,0.01,6.593188271333541e-06,None,None,None,None, , , , , 
194, ,0.01,7.067181273927492e-06,None,None,None,None, , , , , 
195, ,0.01,7.575250258771904e-06,None,None,None,None, , , , , 
196, ,0.01,8.119844993184007e-06,None,None,None,None, , , , , 
197, ,0.01,8.703591361485167e-06,None,None,None,None, , , , , 
198, ,0.01,9.329304026284676e-06,None,None,None,None, , , , , 
199, ,0.01,1e-05,None,None,None,None, , , , , 
200, ,0.010353218432956621,1.0000000000000001e-11,None,None,None,None, , , , , 
201, ,0.010353218432956621,1.0718913192051263e-11,None,None,None,None, , , , , 
202, ,0.010353218432956621,1.1489510001873107e-11,None,None,None,None, , , , , 
203, ,0.010353218432956621,1.2315506032928262e-11,None,None,None,None, , , , , 
204, ,0.010353218432956621,1.3200884008314167e-11,None,None,None,None, , , , , 
205, ,0.010353218432956621,1.4149912974345786e-11,None,None,None,None, , , , , 
206, ,0.010353218432956621,1.5167168884709242e-11,None,None,None,None, , , , , 
207, ,0.010353218432956621,1.6257556664437934e-11,None,None,None,None, , , , , 
208, ,0.010353218432956621,1.7426333860096473e-11,None,None,None,None, , , , , 
209, ,0.010353218432956621,1.8679135990207848e-11,None,None,None,None, , , , , 
