Counter,mX[GeV],mA[GeV],Epsilon,Capture[s-1],Annihilation[s-1],GammaAnn[s-1],IceCubeSignal,LiveTime[s]SommerfeldFile,BranchingRatioFile,Resolution,Kappa0[GeV5],LiveTime[s],SommerfeldFile
242, ,0.028942661247167517,2.030917620904739e-11,None,None,None,None,  , , , ,,
243, ,0.028942661247167517,2.894266124716752e-11,None,None,None,None,  , , , ,,
244, ,0.028942661247167517,4.124626382901348e-11,None,None,None,None,  , , , ,,
245, ,0.028942661247167517,5.878016072274923e-11,None,None,None,None,  , , , ,,
246, ,0.028942661247167517,8.376776400682924e-11,None,None,None,None,  , , , ,,
247, ,0.028942661247167517,1.1937766417144357e-10,None,None,None,None,  , , , ,,
248, ,0.028942661247167517,1.7012542798525856e-10,None,None,None,None,  , , , ,,
249, ,0.028942661247167517,2.4244620170823307e-10,None,None,None,None,  , , , ,,
250, ,0.028942661247167517,3.455107294592218e-10,None,None,None,None,  , , , ,,
251, ,0.028942661247167517,4.923882631706752e-10,None,None,None,None,  , , , ,,
252, ,0.028942661247167517,7.017038286703836e-10,None,None,None,None,  , , , ,,
253, ,0.028942661247167517,1e-09,None,None,None,None,  , , , ,,
254, ,0.028942661247167517,1.4251026703029963e-09,None,None,None,None,  , , , ,,
255, ,0.028942661247167517,2.0309176209047387e-09,None,None,None,None,  , , , ,,
256, ,0.028942661247167517,2.8942661247167516e-09,None,None,None,None,  , , , ,,
257, ,0.028942661247167517,4.124626382901348e-09,None,None,None,None,  , , , ,,
258, ,0.028942661247167517,5.878016072274924e-09,None,None,None,None,  , , , ,,
259, ,0.028942661247167517,8.376776400682925e-09,None,None,None,None,  , , , ,,
260, ,0.028942661247167517,1.1937766417144358e-08,None,None,None,None,  , , , ,,
261, ,0.028942661247167517,1.7012542798525893e-08,None,None,None,None,  , , , ,,
262, ,0.028942661247167517,2.424462017082331e-08,None,None,None,None,  , , , ,,
263, ,0.028942661247167517,3.4551072945922184e-08,None,None,None,None,  , , , ,,
264, ,0.028942661247167517,4.9238826317067414e-08,None,None,None,None,  , , , ,,
265, ,0.028942661247167517,7.017038286703836e-08,None,None,None,None,  , , , ,,
266, ,0.028942661247167517,1e-07,None,None,None,None,  , , , ,,
267, ,0.028942661247167517,1.4251026703029992e-07,None,None,None,None,  , , , ,,
268, ,0.028942661247167517,2.0309176209047388e-07,None,None,None,None,  , , , ,,
269, ,0.028942661247167517,2.894266124716752e-07,None,None,None,None,  , , , ,,
270, ,0.028942661247167517,4.1246263829013564e-07,None,None,None,None,  , , , ,,
271, ,0.028942661247167517,5.878016072274911e-07,None,None,None,None,  , , , ,,
272, ,0.028942661247167517,8.376776400682924e-07,None,None,None,None,  , , , ,,
273, ,0.028942661247167517,1.1937766417144382e-06,None,None,None,None,  , , , ,,
274, ,0.028942661247167517,1.7012542798525892e-06,None,None,None,None,  , , , ,,
275, ,0.028942661247167517,2.4244620170823308e-06,None,None,None,None,  , , , ,,
276, ,0.028942661247167517,3.455107294592218e-06,None,None,None,None,  , , , ,,
277, ,0.028942661247167517,4.923882631706742e-06,None,None,None,None,  , , , ,,
278, ,0.028942661247167517,7.017038286703837e-06,None,None,None,None,  , , , ,,
279, ,0.028942661247167517,1e-05,None,None,None,None,  , , , ,,
280, ,0.0345510729459222,1e-11,None,None,None,None,  , , , ,,
281, ,0.0345510729459222,1.4251026703029963e-11,None,None,None,None,  , , , ,,
282, ,0.0345510729459222,2.030917620904739e-11,None,None,None,None,  , , , ,,
283, ,0.0345510729459222,2.894266124716752e-11,None,None,None,None,  , , , ,,
284, ,0.0345510729459222,4.124626382901348e-11,None,None,None,None,  , , , ,,
285, ,0.0345510729459222,5.878016072274923e-11,None,None,None,None,  , , , ,,
286, ,0.0345510729459222,8.376776400682924e-11,None,None,None,None,  , , , ,,
287, ,0.0345510729459222,1.1937766417144357e-10,None,None,None,None,  , , , ,,
288, ,0.0345510729459222,1.7012542798525856e-10,None,None,None,None,  , , , ,,
289, ,0.0345510729459222,2.4244620170823307e-10,None,None,None,None,  , , , ,,
290, ,0.0345510729459222,3.455107294592218e-10,None,None,None,None,  , , , ,,
291, ,0.0345510729459222,4.923882631706752e-10,None,None,None,None,  , , , ,,
292, ,0.0345510729459222,7.017038286703836e-10,None,None,None,None,  , , , ,,
293, ,0.0345510729459222,1e-09,None,None,None,None,  , , , ,,
294, ,0.0345510729459222,1.4251026703029963e-09,None,None,None,None,  , , , ,,
295, ,0.0345510729459222,2.0309176209047387e-09,None,None,None,None,  , , , ,,
296, ,0.0345510729459222,2.8942661247167516e-09,None,None,None,None,  , , , ,,
297, ,0.0345510729459222,4.124626382901348e-09,None,None,None,None,  , , , ,,
298, ,0.0345510729459222,5.878016072274924e-09,None,None,None,None,  , , , ,,
299, ,0.0345510729459222,8.376776400682925e-09,None,None,None,None,  , , , ,,
300, ,0.0345510729459222,1.1937766417144358e-08,None,None,None,None,  , , , ,,
301, ,0.0345510729459222,1.7012542798525893e-08,None,None,None,None,  , , , ,,
302, ,0.0345510729459222,2.424462017082331e-08,None,None,None,None,  , , , ,,
303, ,0.0345510729459222,3.4551072945922184e-08,None,None,None,None,  , , , ,,
304, ,0.0345510729459222,4.9238826317067414e-08,None,None,None,None,  , , , ,,
305, ,0.0345510729459222,7.017038286703836e-08,None,None,None,None,  , , , ,,
306, ,0.0345510729459222,1e-07,None,None,None,None,  , , , ,,
307, ,0.0345510729459222,1.4251026703029992e-07,None,None,None,None,  , , , ,,
308, ,0.0345510729459222,2.0309176209047388e-07,None,None,None,None,  , , , ,,
309, ,0.0345510729459222,2.894266124716752e-07,None,None,None,None,  , , , ,,
310, ,0.0345510729459222,4.1246263829013564e-07,None,None,None,None,  , , , ,,
311, ,0.0345510729459222,5.878016072274911e-07,None,None,None,None,  , , , ,,
312, ,0.0345510729459222,8.376776400682924e-07,None,None,None,None,  , , , ,,
313, ,0.0345510729459222,1.1937766417144382e-06,None,None,None,None,  , , , ,,
314, ,0.0345510729459222,1.7012542798525892e-06,None,None,None,None,  , , , ,,
315, ,0.0345510729459222,2.4244620170823308e-06,None,None,None,None,  , , , ,,
